Product name,Predicted reaction number,Predicted reaction Yeast-MetaTwin ID,Predicted reaction,Predicted genes of reaction
Spermine,1,r_0937,H2O + oxygen + spermine => 3-aminopropanal + hydrogen peroxide + spermidine,YMR020W
Spermine,2,r_1262,spermine => H+,YGR138C or YLL028W or YOR273C or YPR156C
Spermine,3,r_1263,H+ => spermine,YGR138C or YLL028W or YOR273C or YPR156C
Spermine,4,r_1739,acetyl-CoA + spermine => coenzyme A + H+ + N(1)-acetylspermine,YDR071C
Spermine,5,rxn2611,ammonium + spermine => spermidine + trimethylenediamine,YLL060C or YDL205C or YDR538W or YMR251W or YMR310C or YLR180W or YKL191W or YKR076W or YBR003W or YJR130C or YHR190W or YOR274W or YPR176C or YGR012W or YKL019W or YBR249C or YOR051C or YIR038C or YLR303W or YPL069C or YGR201C or YGR154C or YNL256W or YHR116W or YGL155W or YPL059W or YBR256C or YLL058W or YDL090C or YMR280C or YDR035W or YHR096C or YPR069C or YDR513W or YJL031C or YJL167W or YNL297C or YCL035C or YNR041C or YBR002C or YML082W or YML005W or YMR101C or YIL103W or YLR146C or YDR502C or YHR068W or YOL143C or YDL193W or YPL172C or YGR001C or YML007W or YNL229C
