EC,yeast8,yeast8U,ratio
1.8.99,0,265,0.0
1.1.1,158,260,1.6455696202531647
1.1.99,11,251,22.818181818181817
1.14.13,6,177,29.5
1.14.11,2,150,75.0
1.2.1,37,106,2.864864864864865
1.3.1,27,96,3.5555555555555554
1.11.2,1,83,83.0
1.14.14,3,63,21.0
1.14.18,10,56,5.6
1.4.1,1,48,48.0
1.8.1,28,47,1.6785714285714286
1.3.7,0,45,0.0
1.10.3,2,36,18.0
1.4.3,5,31,6.2
1.6.5,8,30,3.75
1.5.1,11,29,2.6363636363636362
1.16.3,3,29,9.666666666666666
1.11.1,11,27,2.4545454545454546
1.8.3,1,27,27.0
1.3.99,1,27,27.0
1.8.98,0,22,0.0
1.3.3,20,21,1.05
1.1.5,1,21,21.0
1.16.1,2,20,10.0
1.1.3,1,14,14.0
1.97.1,0,13,0.0
1.8.5,5,12,2.4
1.5.3,3,12,4.0
1.14.99,6,9,1.5
1.14.19,7,9,1.2857142857142858
1.3.5,4,8,2.0
1.4.4,8,8,1.0
1.17.4,8,8,1.0
1.3.8,3,7,2.3333333333333335
1.3.98,1,6,6.0
1.13.11,3,5,1.6666666666666667
1.14.12,2,5,2.5
1.2.4,4,4,1.0
1.6.2,3,3,1.0
1.20.4,2,3,1.5
1.17.1,1,3,3.0
1.17.99,1,3,3.0
1.8.4,3,3,1.0
1.13.12,1,3,3.0
1.1.2,2,2,1.0
1.18.1,2,2,1.0
1.14.17,1,2,2.0
1.7.5,1,2,2.0
1.15.1,2,2,1.0
1.5.5,1,1,1.0
1.12.98,0,1,0.0
2.7.1,300,730,2.433333333333333
2.3.1,554,711,1.2833935018050542
2.4.1,125,639,5.112
2.6.1,42,550,13.095238095238095
2.1.1,66,487,7.378787878787879
2.7.4,48,370,7.708333333333333
2.7.7,43,257,5.976744186046512
2.7.8,102,250,2.450980392156863
2.7.11,18,244,13.555555555555555
2.5.1,67,147,2.1940298507462686
2.3.2,14,142,10.142857142857142
2.4.2,23,94,4.086956521739131
2.7.13,9,92,10.222222222222221
2.2.1,5,37,7.4
2.1.2,15,23,1.5333333333333334
2.7.10,1,23,23.0
2.1.3,1,21,21.0
2.8.4,8,20,2.5
2.7.6,7,14,2.0
2.7.12,1,11,11.0
2.3.3,10,10,1.0
2.8.1,6,9,1.5
2.7.3,6,9,1.5
2.7.2,5,5,1.0
2.4.99,1,1,1.0
3.1.1,291,689,2.3676975945017182
3.1.3,206,668,3.2427184466019416
3.4.21,12,403,33.583333333333336
3.6.4,39,343,8.794871794871796
3.1.4,121,218,1.8016528925619835
3.2.1,28,160,5.714285714285714
3.6.1,46,146,3.1739130434782608
3.4.14,9,123,13.666666666666666
3.4.19,19,112,5.894736842105263
3.5.1,23,96,4.173913043478261
3.2.2,14,75,5.357142857142857
3.1.2,20,55,2.75
3.5.4,18,27,1.5
3.4.23,8,25,3.125
3.1.11,0,20,0.0
3.6.5,15,19,1.2666666666666666
3.4.16,15,18,1.2
3.4.11,4,17,4.25
3.4.22,0,14,0.0
3.4.17,1,12,12.0
3.1.26,0,11,0.0
3.3.2,9,9,1.0
3.4.13,3,6,2.0
3.3.1,1,5,5.0
3.5.99,0,5,0.0
3.5.3,2,4,2.0
3.1.7,0,4,0.0
3.7.1,2,3,1.5
3.1.13,0,3,0.0
3.5.2,2,2,1.0
3.4.24,1,2,2.0
3.6.2,0,2,0.0
4.2.1,75,181,2.4133333333333336
4.1.1,37,87,2.3513513513513513
4.4.1,7,77,11.0
4.2.3,10,59,5.9
4.1.3,9,58,6.444444444444445
4.99.1,4,53,13.25
4.6.1,11,50,4.545454545454546
4.3.3,3,35,11.666666666666666
4.1.2,7,24,3.4285714285714284
4.2.99,0,20,0.0
4.3.2,7,14,2.0
4.3.1,5,12,2.4
4.1.99,4,6,1.5
4.5.1,1,1,1.0
4.2.2,1,1,1.0
5.4.99,5,189,37.8
5.2.1,3,157,52.333333333333336
5.5.1,4,140,35.0
5.3.4,4,54,13.5
5.3.1,7,22,3.142857142857143
5.3.99,8,20,2.5
5.4.2,7,14,2.0
5.3.3,9,12,1.3333333333333333
5.1.3,4,7,1.75
5.3.2,6,6,1.0
5.6.1,2,2,1.0
5.1.1,1,1,1.0
6.2.1,45,83,1.8444444444444446
6.3.2,7,46,6.571428571428571
6.1.1,35,35,1.0
6.3.4,17,31,1.8235294117647058
6.3.5,11,21,1.9090909090909092
6.3.3,6,19,3.1666666666666665
6.3.1,4,10,2.5
6.4.1,5,6,1.2
7.1.1,16,746,46.625
7.6.2,63,65,1.0317460317460319
7.2.1,6,37,6.166666666666667
7.2.2,16,16,1.0
7.1.2,5,5,1.0
7.5.2,3,3,1.0
7.3.2,1,1,1.0
